0.0543792	0.0147888
0.0636845	0.0166258
0.0752865	0.0186382
0.0879136	0.0209237
0.102989	0.0245873
0.120034	0.0287066
0.141159	0.0341337
0.165654	0.0394678
0.191584	0.047519
0.224370	0.0583972
0.261880	0.0706062
0.303603	0.0860441
0.354162	0.106186
0.410997	0.13145
0.479051	0.162206
0.554974	0.200799
0.644046	0.250982
0.746963	0.312648
0.866874	0.390736
1.007740	0.492374
1.173840	0.613806
1.365550	0.775737
1.584700	0.961096
1.847500	1.21291
2.155120	1.46819
0.843986	0.384117
0.935245	0.435484
1.038130	0.509665
1.147260	0.589563
1.269870	0.688841
1.408710	0.802953
1.559950	0.936976
1.729490	1.09154
1.922040	1.28193
2.129310	1.48936
2.364670	1.73529
2.630240	2.0291
2.924520	2.36159
3.257980	2.75827
3.631480	3.21654
4.057020	3.76776
4.535220	4.38912
5.081590	5.14324
5.694870	6.0206
6.389130	7.0474
7.184260	8.25209
8.089680	9.68114
9.113440	11.3156
10.29150	13.2997
11.60730	15.5488
13.17130	18.2519
14.89960	21.3598
16.89970	25.0012
19.21710	29.1591
